subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1109,ses-1,run-01,anode,control,-48.47044209,-8.49236931,67.41317446,-48.7093474981009,-11.4753011743017,67.96037593628932,active,0.2389054081008979,2.9829318643016993,-0.5472014762893309,3.042102522391297,P1,P1,a_baseline,105.08,0.0226,57.58,60.42,True,different_montage?+high_residual,47.89,control
sub-1109,ses-1,run-02,anode,control,-48.50976328,-8.75434102,67.875543,-48.7093474981009,-11.4753011743017,67.96037593628932,active,0.19958421810089533,2.7209601543017,-0.08483293628933097,2.7295887324818637,P1,P1,a_baseline,105.56,0.0221,57.1,60.26,True,different_montage?+high_residual,47.98,control
sub-1109,ses-2,run-01,anode,control,-55.17766389,-17.03195802,62.07475923,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-6.468316391899101,-5.556656845698301,-5.885616706289326,10.361275802714086,P1,P1,a_baseline,106.7,0.0325,57.14,61.79,True,different_montage?+high_residual,50.41,control
sub-1109,ses-2,run-02,anode,control,-55.12163588,-17.29745468,61.73523861,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-6.412288381899103,-5.822153505698301,-6.225137326289321,10.666173093838005,P1,P1,a_baseline,107.22,0.0278,57.29,61.29,True,different_montage?+high_residual,50.26,control
sub-1109,ses-3,run-01,anode,control,-52.88229601,-12.20401866,62.80946951,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-4.172948511899101,-0.728717485698299,-5.150906426289325,6.669060313815735,P1,P1,a_baseline,107.52,0.0186,58.21,60.55,True,different_montage?+high_residual,50.0,control
sub-1109,ses-3,run-02,anode,control,-52.34662051,-13.35030853,62.35742968,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-3.6372730118991043,-1.8750073556982993,-5.6029462562893215,6.93818523087117,P1,P1,a_baseline,108.42,0.0224,57.65,60.88,True,different_montage?+high_residual,50.11,control
sub-1109,ses-4,run-01,anode,control,-53.17284782,-16.6453626,64.2460906,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-4.4635003218991045,-5.170061425698298,-3.714285336289322,7.774849569506848,P1,P1,a_baseline,103.02,0.0248,57.04,60.49,True,different_montage?+high_residual,49.64,control
sub-1109,ses-4,run-02,anode,control,-52.71406059,-17.45337483,64.30386135,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-4.004713091899106,-5.978073655698301,-3.656514586289319,8.071257058298212,P1,P1,a_baseline,102.98,0.0186,57.31,59.81,True,different_montage?+high_residual,49.7,control
sub-1115,ses-1,run-01,anode,control,-52.15795537,-52.28004743,70.41985465,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-2.9742041399206016,-5.7644502387144385,-5.355501986161968,8.411669177061148,P1,P1,a_baseline,110.03,0.0332,55.46,59.68,True,different_montage?+high_residual,49.1,control
sub-1115,ses-1,run-02,anode,control,-51.31386724,-52.80752801,69.63829331,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-2.1301160099205987,-6.291930818714434,-6.137063326161979,9.04374556876358,P1,P1,a_baseline,109.45,0.0359,54.99,59.6,True,different_montage?+high_residual,49.17,control
sub-1115,ses-2,run-01,anode,control,-55.20139902,-34.8025312,71.90368834,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-6.017647789920595,11.713065991285568,-3.871668296161971,13.725808363635728,P1,P1,a_baseline,106.07,0.0411,53.82,58.93,True,different_montage?+high_residual,52.83,control
sub-1115,ses-2,run-02,anode,control,-54.90811412,-34.70381593,70.46175243,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-5.724362889920599,11.811781261285567,-5.313604206161969,14.16054012810596,P1,P1,a_baseline,101.59,0.0316,54.3,58.49,True,different_montage?+high_residual,52.05,control
sub-1115,ses-3,run-01,anode,control,-54.44978904,-54.05253553,68.87433746,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-5.266037809920597,-7.536938338714435,-6.901019176161967,11.49611497014761,P1,P1,a_baseline,105.34,0.0264,56.32,60.01,True,different_montage?+high_residual,52.58,control
sub-1115,ses-3,run-02,anode,control,-52.25517134,-53.24042649,65.57648654,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-3.071420109920595,-6.7248292987144325,-10.198870096161968,12.596582942483233,P1,P1,a_baseline,104.84,0.0229,56.23,59.39,True,different_montage?+high_residual,53.23,control
sub-1115,ses-4,run-01,anode,control,-58.04907434,-53.76274817,65.30321876,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-8.865323109920595,-7.247150978714437,-10.47213787616198,15.517113869818708,P1,P1,a_baseline,106.83,0.034,56.69,61.1,True,different_montage?+high_residual,53.55,control
sub-1115,ses-4,run-02,anode,control,-58.02385949,-54.8773733,65.88866374,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-8.840108259920598,-8.361776108714437,-9.886692896161975,15.678440935322733,P1,P1,a_baseline,106.38,0.0348,56.25,61.12,True,different_montage?+high_residual,53.95,control
sub-1116,ses-1,run-01,anode,control,-42.56564218,-3.06651157,69.32877953,-48.75531745201044,-33.56227559026083,69.60459129494461,active,6.18967527201044,30.495764020260832,-0.27581176494460635,31.118800993644573,P1,P1,a_baseline,105.09,0.0205,55.45,58.05,True,different_montage?+high_residual,60.9,control
sub-1116,ses-1,run-02,anode,control,-42.84092045,-3.82543151,70.19680957,-48.75531745201044,-33.56227559026083,69.60459129494461,active,5.914397002010439,29.73684408026083,0.5922182750553873,30.325083845497332,P1,P1,a_baseline,104.35,0.0195,55.2,57.87,True,different_montage?+high_residual,60.21,control
sub-1116,ses-2,run-01,anode,control,-52.7015942,-32.87853753,65.89201369,-48.75531745201044,-33.56227559026083,69.60459129494461,active,-3.9462767479895646,0.6837380602608292,-3.712577604944613,5.461119883275647,P1,P1,a_baseline,100.49,0.009,57.43,58.55,True,different_montage?+high_residual,48.76,control
sub-1116,ses-2,run-02,anode,control,-52.44358404,-33.80273784,66.83792631,-48.75531745201044,-33.56227559026083,69.60459129494461,active,-3.6882665879895598,-0.24046224973916708,-2.7666649849446117,4.616878562031748,P1,P1,a_baseline,101.38,0.0054,57.55,58.3,True,different_montage?+high_residual,48.69,control
